"TOA5","5318","CR300","5318","CR310.Std.08.01","CPU:CR310_20190411.CR300","61247","Logger"
"TIMESTAMP","RECORD","BattV_Min","BattV","PTemp_C","Temp_C"
"TS","RN","Volts","Volts","Deg C","Deg C"
"","","Min","Smp","Smp","Smp"
"2019-04-11 16:00:00",0,12.58,12.58,21.91,21.23
"2019-04-11 17:00:00",0,12.55,12.55,24.77,23.28
"2019-04-11 18:00:00",0,12.51,12.54,24.58,23.09
"2019-04-11 19:00:00",1,12.49,12.55,24.62,23.03
"2019-04-11 20:00:00",2,12.49,12.52,24.37,22.81
"2019-04-11 21:00:00",3,12.48,12.49,24.37,23.05
"2019-04-11 22:00:00",4,12.47,12.49,24.58,23.24
"2019-04-11 23:00:00",5,12.46,12.49,24.59,23.24
"2019-04-12 00:00:00",6,12.46,12.48,24.57,23.21
